Player,Team,Position,Height,Weight,PPG,RPG,APG,SPG,BPG,Headshot_URL
Marcus Smart,Washington Wizards,G,6-3,220,8.7,2.3,3.7,1.2,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/203935.png
Jalen Duren,Detroit Pistons,C,6-10,250,11.8,10.3,2.7,0.7,1.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png
Ronald Holland II,Detroit Pistons,F,6-8,206,6.4,2.7,1.0,0.6,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1641842.png
Cade Cunningham,Detroit Pistons,G,6-6,220,26.1,6.1,9.1,1.0,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1630595.png
Malik Beasley,Detroit Pistons,G,6-4,187,16.3,2.6,1.7,0.9,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1627736.png
Paul Reed,Detroit Pistons,F,6-9,210,4.1,2.7,1.0,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1630194.png
Tim Hardaway Jr.,Detroit Pistons,G-F,6-5,205,11.0,2.4,1.6,0.5,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203501.png
Ausar Thompson,Detroit Pistons,G-F,6-6,205,10.1,5.1,2.3,1.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png
Tobias Harris,Detroit Pistons,F,6-8,226,13.7,5.9,2.2,1.0,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png
Ron Harper Jr.,Detroit Pistons,G-F,6-4,233,4.0,7.0,2.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631199.png
Dennis Schröder,Detroit Pistons,G,6-1,175,18.4,3.0,6.6,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png
Simone Fontecchio,Detroit Pistons,F,6-7,209,5.9,2.9,0.9,0.4,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631323.png
Jaden Ivey,Detroit Pistons,G,6-4,195,17.6,4.1,4.0,0.9,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1631093.png
Daniss Jenkins,Detroit Pistons,G,6-3,165,1.0,0.3,0.4,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642450.png
Marcus Sasser,Detroit Pistons,G,6-2,195,6.6,1.2,2.3,0.6,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1631204.png
Isaiah Stewart,Detroit Pistons,F-C,6-8,250,6.0,5.5,1.7,0.4,1.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630191.png
Bobi Klintman,Detroit Pistons,F,6-9,225,1.9,0.9,0.9,0.2,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641752.png
Tolu Smith,Detroit Pistons,F,6-11,,14.0,8.0,0.0,0.0,0.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642449.png
Lindy Waters III,Detroit Pistons,F,6-6,210,5.5,2.5,1.1,0.6,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png
Miles Bridges,Charlotte Hornets,F,6-7,225,20.3,7.5,3.9,0.7,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png
LaMelo Ball,Charlotte Hornets,G,6-7,180,25.2,4.9,7.4,1.1,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
Grant Williams,Charlotte Hornets,F,6-6,236,10.4,5.1,2.3,1.1,0.8,https://cdn.nba.com/headshots/nba/latest/1040x760/1629684.png
DaQuan Jeffries,Charlotte Hornets,G-F,6-5,222,6.7,2.9,1.1,0.6,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/1629610.png
Mark Williams,Charlotte Hornets,C,7-0,240,15.2,10.2,2.5,0.7,1.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png
Damion Baugh,Charlotte Hornets,G,6-4,194,7.3,3.3,3.7,1.0,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641878.png
Nick Smith Jr.,Charlotte Hornets,G,6-2,185,9.8,2.1,2.4,0.3,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/1641733.png
Wendell Moore Jr.,Charlotte Hornets,G,6-5,215,3.2,2.2,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1631111.png
Josh Green,Charlotte Hornets,G,6-5,200,7.4,2.5,1.6,1.1,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1630182.png
Jusuf Nurkić,Charlotte Hornets,C,7-0,290,8.6,9.2,1.9,0.9,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/203994.png
Josh Okogie,Charlotte Hornets,G,6-4,213,6.0,2.9,0.6,0.8,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1629006.png
Moussa Diabaté,Charlotte Hornets,F,6-9,210,5.7,6.2,0.8,0.6,0.6,https://cdn.nba.com/headshots/nba/latest/1040x760/1631217.png
Tre Mann,Charlotte Hornets,G,6-3,178,14.1,2.9,3.0,0.5,0.3,https://cdn.nba.com/headshots/nba/latest/1040x760/1630544.png
Brandon Miller,Charlotte Hornets,F,6-7,200,21.0,4.9,3.6,1.1,0.7,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
KJ Simpson,Charlotte Hornets,G,6-0,189,7.8,3.0,3.1,0.9,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642354.png
Seth Curry,Charlotte Hornets,G,6-1,185,6.5,1.7,0.9,0.4,0.1,https://cdn.nba.com/headshots/nba/latest/1040x760/203552.png
Tidjane Salaün,Charlotte Hornets,F,6-8,207,5.9,4.7,1.2,0.5,0.2,https://cdn.nba.com/headshots/nba/latest/1040x760/1642275.png
Taj Gibson,Charlotte Hornets,F,6-9,232,2.9,3.2,0.6,0.2,0.5,https://cdn.nba.com/headshots/nba/latest/1040x760/201959.png
